window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
11,24,0.09227613519620431,18
11,25,0.10904965669489183,28
11,26,0.09815963057411732,24
11,27,0.09700184290326284,37
11,28,0.11416572181574745,38
11,29,0.09900396059463566,20
11,30,0.10476143767551271,40
11,31,0.10327115181391734,11
11,32,0.10163442576784178,2
11,33,0.1147202575293856,40
11,34,0.10138360266615158,2
11,35,0.10067724604577385,13
11,36,0.10023408578623727,37
11,37,0.09782872029267155,2
11,38,0.092767522322228,4
11,39,0.09587070489838151,6
11,40,0.10084113006356159,38
11,41,0.11040844928829754,38
11,42,0.10230294917647716,24
11,43,0.1044928665838703,40
11,44,0.1086587525870914,34
11,45,0.12694782810116156,40
11,46,0.1046538934157486,40
11,47,0.09104893582705764,32
11,48,0.09526504071124435,27
11,49,0.09578822518117636,25
12,10,0.09351878549647914,39
12,11,0.09221441112567941,2
12,12,0.0997712982125506,26
12,13,0.10718958464772968,31
12,14,0.10066136401846816,40
12,15,0.09312305043776936,2
12,16,0.10233936079410264,13
12,17,0.08941308594262974,15
12,18,0.08921106333207289,32
12,19,0.09413658053570631,29
12,20,0.08708361547508496,30
12,21,0.09174582298322606,24
12,22,0.08932768467753019,2
12,23,0.08704045044910284,33
12,24,0.08526403342109375,9
12,25,0.08742282203158704,29
12,26,0.09146854448181214,29
12,27,0.08919260938097685,17
12,28,0.08763711565362134,12
12,29,0.0930887666114825,2
12,30,0.0939553397580563,2
12,31,0.09449319019734058,2
12,32,0.09548343223468904,2
12,33,0.10313028570329166,37
12,34,0.09572311074148761,2
12,35,0.09468289179814861,2
12,36,0.09368771342860606,2
12,37,0.08978235935721504,2
12,38,0.09160947764225781,2
12,39,0.09156217814351324,2
12,40,0.0951010782526406,8
12,41,0.08917299976386105,38
12,42,0.08915068847463614,3
12,43,0.09379804027269478,39
12,44,0.10811250721679157,2
12,45,0.09680791505053607,40
12,46,0.08339400905700985,34
12,47,0.09611810049677405,38
12,48,0.08950372443559823,2
12,49,0.0954654793720385,24
13,10,0.08702999990742717,2
13,11,0.08538397221811972,22
13,12,0.09189865748388625,26
13,13,0.08799613637526518,2
13,14,0.08811583314100423,2
13,15,0.08674453522871894,2
13,16,0.08430641962046478,14
13,17,0.08301029615553873,34
13,18,0.08298701895541152,29
13,19,0.08727365517571765,12
13,20,0.08231946535437598,2
13,21,0.07995326016554492,18
13,22,0.08229267228969471,29
13,23,0.07795479866770416,12
13,24,0.08070942038223002,40
13,25,0.08112892219141532,2
13,26,0.08063219134673327,2
13,27,0.08072877693640783,2
13,28,0.08676690352209285,2
13,29,0.08756295541718721,2
13,30,0.08804921669892209,2
13,31,0.08807384385335161,2
13,32,0.09291124420638648,39
13,33,0.09002382783435821,2
13,34,0.0897080167516494,2
13,35,0.09136981325619657,40
13,36,0.08104072331312469,38
13,37,0.08581521357640808,2
13,38,0.08557184721970587,2
13,39,0.08703826048914758,29
13,40,0.08384180203329687,12
13,41,0.08058886167038906,14
13,42,0.10902594123797502,2
13,43,0.11430146857903441,2
13,44,0.08099682598298076,7
13,45,0.0871601576464744,2
13,46,0.08589049638234304,2
13,47,0.08564943512236695,2
13,48,0.08622955218642582,40
13,49,0.08290164105513888,3
14,10,0.0823798628355836,2
14,11,0.07960030550300427,2
14,12,0.08312758643127269,32
14,13,0.08259488713231063,2
14,14,0.07856308869999944,37
14,15,0.08013164331560296,2
14,16,0.08728877744940192,26
14,17,0.0712135683361494,5
14,18,0.08018110748426728,30
14,19,0.07737510960275192,2
14,20,0.07622445908269307,2
14,21,0.07435457572354977,29
14,22,0.07247812964180093,2
14,23,0.07433039720819022,2
14,24,0.07368899033829765,2
14,25,0.07507867933875541,8
14,26,0.0748232815886699,2
14,27,0.07963519427097673,2
14,28,0.08083234458327991,2
14,29,0.0815968034224698,2
14,30,0.08217203232383062,2
14,31,0.08295936350641613,2
14,32,0.08304214280631717,2
14,33,0.08466687484014254,2
14,34,0.08802078986222969,40
14,35,0.08359123293134964,40
